Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen;Vorzeitige Sterblichkeit Männer
;;;2017;2017
1001;Flensburg, Stadt;kreisfreie Stadt;1.509,80;3,87
1002;Kiel, Stadt;kreisfreie Stadt;1.544,33;3,53
1003;Lübeck, Stadt;kreisfreie Stadt;1.639,28;4,48
1004;Neumünster, Stadt;kreisfreie Stadt;1.546,79;4,85
1051;Dithmarschen;Landkreis;1.855,27;4,14
1053;Herzogtum Lauenburg;Landkreis;2.155,69;3,64
1054;Nordfriesland;Landkreis;2.077,59;4,18
1055;Ostholstein;Landkreis;1.877,93;4,47
1056;Pinneberg;Landkreis;1.978,19;3
1057;Plön;Landkreis;1.854,38;3,5
1058;Rendsburg-Eckernförde;Landkreis;1.891,76;3,49
1059;Schleswig-Flensburg;Landkreis;1.827,94;4,21
1060;Segeberg;Landkreis;1.869,79;3,5
1061;Steinburg;Landkreis;1.760,88;4,41
1062;Stormarn;Landkreis;2.051,92;3,33
2000;Hamburg, Stadt;kreisfreie Stadt;2.045,76;3,23
3101;Braunschweig, Stadt;kreisfreie Stadt;1.821,83;3,38
3102;Salzgitter, Stadt;kreisfreie Stadt;1.594,09;4,64
3103;Wolfsburg, Stadt;kreisfreie Stadt;1.961,16;3,95
3151;Gifhorn;Landkreis;1.899,00;3,61
3153;Goslar;Landkreis;1.708,68;5,03
3154;Helmstedt;Landkreis;1.866,81;4,86
3155;Northeim;Landkreis;1.790,64;4,73
3157;Peine;Landkreis;1.789,44;3,76
3158;Wolfenbüttel;Landkreis;1.809,43;3,9
3159;Göttingen;Landkreis;1.699,22;3,79
3241;Region Hannover;Landkreis;1.759,47;3,48
3251;Diepholz;Landkreis;1.920,93;3,55
3252;Hameln-Pyrmont;Landkreis;1.791,42;4,35
3254;Hildesheim;Landkreis;1.736,13;4,02
3255;Holzminden;Landkreis;1.711,26;4,74
3256;Nienburg (Weser);Landkreis;1.734,32;4,38
3257;Schaumburg;Landkreis;1.781,62;4,4
3351;Celle;Landkreis;1.693,78;3,98
3352;Cuxhaven;Landkreis;1.830,80;4,75
3353;Harburg;Landkreis;2.083,68;2,97
3354;Lüchow-Dannenberg;Landkreis;1.702,76;6,02
3355;Lüneburg;Landkreis;1.736,42;3,46
3356;Osterholz;Landkreis;1.878,66;3,98
3357;Rotenburg (Wümme);Landkreis;1.853,83;4,17
3358;Heidekreis;Landkreis;1.733,70;3,75
3359;Stade;Landkreis;1.877,79;3,29
3360;Uelzen;Landkreis;1.724,03;4,7
3361;Verden;Landkreis;1.917,84;3,64
3401;Delmenhorst, Stadt;kreisfreie Stadt;1.564,97;4,06
3402;Emden, Stadt;kreisfreie Stadt;1.521,77;4,93
3403;Oldenburg (Oldenburg), Stadt;kreisfreie Stadt;1.636,72;3,24
3404;Osnabrück, Stadt;kreisfreie Stadt;1.730,89;2,69
3405;Wilhelmshaven, Stadt;kreisfreie Stadt;1.500,92;6
3451;Ammerland;Landkreis;1.827,01;3,04
3452;Aurich;Landkreis;1.677,75;4,51
3453;Cloppenburg;Landkreis;1.762,21;3,02
3454;Emsland;Landkreis;1.782,65;3,28
3455;Friesland;Landkreis;1.728,07;3,87
3456;Grafschaft Bentheim;Landkreis;1.677,59;3,33
3457;Leer;Landkreis;1.603,82;4,07
3458;Oldenburg;Landkreis;1.909,01;3,42
3459;Osnabrück;Landkreis;1.873,35;3,27
3460;Vechta;Landkreis;1.902,81;2,22
3461;Wesermarsch;Landkreis;1.772,35;4,18
3462;Wittmund;Landkreis;1.750,55;4,83
4011;Bremen, Stadt;kreisfreie Stadt;1.780,98;3,76
4012;Bremerhaven, Stadt;kreisfreie Stadt;1.456,43;5,01
5111;Düsseldorf, Stadt;kreisfreie Stadt;2.136,68;3,28
5112;Duisburg, Stadt;kreisfreie Stadt;1.387,53;4,29
5113;Essen, Stadt;kreisfreie Stadt;1.653,17;4,49
5114;Krefeld, Stadt;kreisfreie Stadt;1.750,41;4,08
5116;Mönchengladbach, Stadt;kreisfreie Stadt;1.691,13;4,2
5117;Mülheim an der Ruhr, Stadt;kreisfreie Stadt;1.856,45;4
5119;Oberhausen, Stadt;kreisfreie Stadt;1.502,55;4,47
5120;Remscheid, Stadt;kreisfreie Stadt;1.842,46;3,76
5122;Solingen, Stadt;kreisfreie Stadt;1.896,12;3,82
5124;Wuppertal, Stadt;kreisfreie Stadt;1.721,89;3,97
5154;Kleve;Landkreis;1.680,70;3,91
5158;Mettmann;Landkreis;2.049,99;3,49
5162;Rhein-Kreis Neuss;Landkreis;2.033,80;3,14
5166;Viersen;Landkreis;1.864,68;3,28
5170;Wesel;Landkreis;1.787,06;3,87
5314;Bonn, Stadt;kreisfreie Stadt;1.874,82;2,87
5315;Köln, Stadt;kreisfreie Stadt;1.831,65;2,93
5316;Leverkusen, Stadt;kreisfreie Stadt;1.762,03;3,11
5334;Städteregion Aachen;Landkreis;1.652,87;3,08
5358;Düren;Landkreis;1.713,29;3,84
5362;Rhein-Erft-Kreis;Landkreis;1.826,28;3,38
5366;Euskirchen;Landkreis;1.772,73;4,02
5370;Heinsberg;Landkreis;1.663,90;3,79
5374;Oberbergischer Kreis;Landkreis;1.876,59;3,46
5378;Rheinisch-Bergischer Kreis;Landkreis;2.119,36;3,14
5382;Rhein-Sieg-Kreis;Landkreis;1.927,26;3,16
5512;Bottrop, Stadt;kreisfreie Stadt;1.635,64;4,74
5513;Gelsenkirchen, Stadt;kreisfreie Stadt;1.332,60;4,79
5515;Münster, Stadt;kreisfreie Stadt;1.879,34;2,46
5554;Borken;Landkreis;1.826,70;2,89
5558;Coesfeld;Landkreis;1.953,57;3,16
5562;Recklinghausen;Landkreis;1.642,44;4,31
5566;Steinfurt;Landkreis;1.817,30;3,44
5570;Warendorf;Landkreis;1.918,59;3,34
5711;Bielefeld, Stadt;kreisfreie Stadt;1.781,67;3,44
5754;Gütersloh;Landkreis;2.001,32;2,97
5758;Herford;Landkreis;1.846,93;3,73
5762;Höxter;Landkreis;1.791,95;3,67
5766;Lippe;Landkreis;1.823,09;3,8
5770;Minden-Lübbecke;Landkreis;1.845,42;3,88
5774;Paderborn;Landkreis;1.766,75;2,99
5911;Bochum, Stadt;kreisfreie Stadt;1.618,55;4,14
5913;Dortmund, Stadt;kreisfreie Stadt;1.553,54;4,15
5914;Hagen, Stadt;kreisfreie Stadt;1.608,13;4,82
5915;Hamm, Stadt;kreisfreie Stadt;1.491,68;3,98
5916;Herne, Stadt;kreisfreie Stadt;1.453,67;5,36
5954;Ennepe-Ruhr-Kreis;Landkreis;1.960,64;3,92
5958;Hochsauerlandkreis;Landkreis;1.980,78;3,52
5962;Märkischer Kreis;Landkreis;1.993,32;4,03
5966;Olpe;Landkreis;2.434,36;3,21
5970;Siegen-Wittgenstein;Landkreis;1.928,64;3,72
5974;Soest;Landkreis;1.836,62;3,82
5978;Unna;Landkreis;1.736,05;3,93
6411;Darmstadt, Stadt;kreisfreie Stadt;1.911,79;2,63
6412;Frankfurt am Main, Stadt;kreisfreie Stadt;1.879,50;2,87
6413;Offenbach am Main, Stadt;kreisfreie Stadt;1.545,58;3,18
6414;Wiesbaden, Stadt;kreisfreie Stadt;2.016,07;3,45
6431;Bergstraße;Landkreis;2.006,50;3,35
6432;Darmstadt-Dieburg;Landkreis;1.997,51;3,01
6433;Groß-Gerau;Landkreis;1.821,21;2,89
6434;Hochtaunuskreis;Landkreis;2.770,86;2,68
6435;Main-Kinzig-Kreis;Landkreis;1.982,12;3
6436;Main-Taunus-Kreis;Landkreis;2.296,31;2,69
6437;Odenwaldkreis;Landkreis;1.791,38;3,8
6438;Offenbach;Landkreis;2.009,25;2,9
6439;Rheingau-Taunus-Kreis;Landkreis;2.079,42;3,09
6440;Wetteraukreis;Landkreis;1.974,30;3,63
6531;Gießen;Landkreis;1.724,10;3,51
6532;Lahn-Dill-Kreis;Landkreis;1.919,14;4
6533;Limburg-Weilburg;Landkreis;1.843,09;3,74
6534;Marburg-Biedenkopf;Landkreis;1.735,90;3,28
6535;Vogelsbergkreis;Landkreis;1.763,98;4,07
6611;Kassel, Stadt;kreisfreie Stadt;1.601,69;3,65
6631;Fulda;Landkreis;1.869,44;2,98
6632;Hersfeld-Rotenburg;Landkreis;1.780,21;3,42
6633;Kassel;Landkreis;1.841,73;3,58
6634;Schwalm-Eder-Kreis;Landkreis;1.781,46;3,84
6635;Waldeck-Frankenberg;Landkreis;1.841,92;3,8
6636;Werra-Meißner-Kreis;Landkreis;1.675,92;3,96
7111;Koblenz, Stadt;kreisfreie Stadt;1.764,66;3,34
7131;Ahrweiler;Landkreis;1.935,50;3,95
7132;Altenkirchen (Westerwald);Landkreis;1.789,62;4,23
7133;Bad Kreuznach;Landkreis;1.808,05;4,23
7134;Birkenfeld;Landkreis;1.768,98;5,13
7135;Cochem-Zell;Landkreis;1.851,32;3,89
7137;Mayen-Koblenz;Landkreis;1.829,03;3,68
7138;Neuwied;Landkreis;1.906,21;3,6
7140;Rhein-Hunsrück-Kreis;Landkreis;1.922,16;3,55
7141;Rhein-Lahn-Kreis;Landkreis;1.807,42;4,29
7143;Westerwaldkreis;Landkreis;1.990,52;3,51
7211;Trier, Stadt;kreisfreie Stadt;1.710,59;3,13
7231;Bernkastel-Wittlich;Landkreis;1.819,14;3,4
7232;Eifelkreis Bitburg-Prüm;Landkreis;1.784,12;3,79
7233;Vulkaneifel;Landkreis;1.782,43;3,45
7235;Trier-Saarburg;Landkreis;1.877,81;3,32
7311;Frankenthal (Pfalz), Stadt;kreisfreie Stadt;1.776,25;3,75
7312;Kaiserslautern, Stadt;kreisfreie Stadt;1.562,96;3,57
7313;Landau in der Pfalz, Stadt;kreisfreie Stadt;1.791,30;2,85
7314;Ludwigshafen am Rhein, Stadt;kreisfreie Stadt;1.620,88;3,89
7315;Mainz, Stadt;kreisfreie Stadt;1.830,69;2,76
7316;Neustadt an der Weinstraße, Stadt;kreisfreie Stadt;2.096,75;3,81
7317;Pirmasens, Stadt;kreisfreie Stadt;1.616,06;5,4
7318;Speyer, Stadt;kreisfreie Stadt;1.975,99;3,95
7319;Worms, Stadt;kreisfreie Stadt;1.691,36;3,95
7320;Zweibrücken, Stadt;kreisfreie Stadt;1.680,41;3,78
7331;Alzey-Worms;Landkreis;1.868,16;3,66
7332;Bad Dürkheim;Landkreis;2.140,45;3,86
7333;Donnersbergkreis;Landkreis;1.762,85;3,76
7334;Germersheim;Landkreis;1.867,26;3,25
7335;Kaiserslautern;Landkreis;1.751,09;3,56
7336;Kusel;Landkreis;1.698,86;4,67
7337;Südliche Weinstraße;Landkreis;1.962,39;3,41
7338;Rhein-Pfalz-Kreis;Landkreis;2.141,93;3,13
7339;Mainz-Bingen;Landkreis;2.064,87;2,95
7340;Südwestpfalz;Landkreis;1.873,28;3,78
8111;Stuttgart, Stadt;kreisfreie Stadt;2.117,11;2,58
8115;Böblingen;Landkreis;2.070,43;2,42
8116;Esslingen;Landkreis;2.092,08;2,48
8117;Göppingen;Landkreis;1.966,33;2,62
8118;Ludwigsburg;Landkreis;2.118,93;2,54
8119;Rems-Murr-Kreis;Landkreis;2.057,55;2,98
8121;Heilbronn, Stadt;kreisfreie Stadt;3.415,89;2,87
8125;Heilbronn;Landkreis;2.038,41;2,66
8126;Hohenlohekreis;Landkreis;2.019,68;3,18
8127;Schwäbisch Hall;Landkreis;1.938,75;3,32
8128;Main-Tauber-Kreis;Landkreis;1.883,94;2,83
8135;Heidenheim;Landkreis;1.863,79;3,21
8136;Ostalbkreis;Landkreis;1.990,84;3,21
8211;Baden-Baden, Stadt;kreisfreie Stadt;2.362,42;4,18
8212;Karlsruhe, Stadt;kreisfreie Stadt;1.828,78;2,84
8215;Karlsruhe;Landkreis;1.974,74;2,98
8216;Rastatt;Landkreis;1.922,25;3,59
8221;Heidelberg, Stadt;kreisfreie Stadt;1.910,20;2,33
8222;Mannheim, Stadt;kreisfreie Stadt;1.781,57;3,68
8225;Neckar-Odenwald-Kreis;Landkreis;1.823,63;3,85
8226;Rhein-Neckar-Kreis;Landkreis;2.024,57;3,1
8231;Pforzheim, Stadt;kreisfreie Stadt;1.855,08;3,23
8235;Calw;Landkreis;1.945,69;3,46
8236;Enzkreis;Landkreis;2.115,55;2,57
8237;Freudenstadt;Landkreis;2.017,12;2,57
8311;Freiburg im Breisgau, Stadt;kreisfreie Stadt;1.805,83;2,42
8315;Breisgau-Hochschwarzwald;Landkreis;2.013,38;2,77
8316;Emmendingen;Landkreis;1.911,65;2,76
8317;Ortenaukreis;Landkreis;1.917,29;3,02
8325;Rottweil;Landkreis;2.057,31;3,07
8326;Schwarzwald-Baar-Kreis;Landkreis;2.028,19;2,98
8327;Tuttlingen;Landkreis;2.130,63;2,89
8335;Konstanz;Landkreis;2.041,86;2,84
8336;Lörrach;Landkreis;2.187,47;3,27
8337;Waldshut;Landkreis;2.025,85;3,42
8415;Reutlingen;Landkreis;2.015,95;3,19
8416;Tübingen;Landkreis;1.922,13;2,36
8417;Zollernalbkreis;Landkreis;2.079,35;3,2
8421;Ulm, Stadt;kreisfreie Stadt;2.295,90;2,45
8425;Alb-Donau-Kreis;Landkreis;1.932,64;2,98
8426;Biberach;Landkreis;1.977,01;2,85
8435;Bodenseekreis;Landkreis;2.147,92;2,61
8436;Ravensburg;Landkreis;1.964,23;2,73
8437;Sigmaringen;Landkreis;1.871,67;3,38
9161;Ingolstadt, Stadt;kreisfreie Stadt;1.952,48;2,6
9162;München, Stadt;kreisfreie Stadt;2.551,39;2,41
9163;Rosenheim, Stadt;kreisfreie Stadt;1.885,62;3
9171;Altötting;Landkreis;1.921,79;3,82
9172;Berchtesgadener Land;Landkreis;1.921,67;3,2
9173;Bad Tölz-Wolfratshausen;Landkreis;2.180,76;2,61
9174;Dachau;Landkreis;2.105,07;2,48
9175;Ebersberg;Landkreis;2.287,31;2,05
9176;Eichstätt;Landkreis;1.983,05;2,61
9177;Erding;Landkreis;2.083,20;2,73
9178;Freising;Landkreis;1.996,59;2,51
9179;Fürstenfeldbruck;Landkreis;2.146,97;2,16
9180;Garmisch-Partenkirchen;Landkreis;2.094,81;3,59
9181;Landsberg am Lech;Landkreis;2.157,86;3,05
9182;Miesbach;Landkreis;2.832,37;2,38
9183;Mühldorf a.Inn;Landkreis;1.957,52;3,44
9184;München;Landkreis;2.560,93;2,13
9185;Neuburg-Schrobenhausen;Landkreis;1.969,25;2,52
9186;Pfaffenhofen a.d.Ilm;Landkreis;2.138,32;2,93
9187;Rosenheim;Landkreis;2.101,62;2,97
9188;Starnberg;Landkreis;3.063,44;2,05
9189;Traunstein;Landkreis;2.051,25;2,79
9190;Weilheim-Schongau;Landkreis;2.105,55;2,78
9261;Landshut, Stadt;kreisfreie Stadt;2.071,83;3,35
9262;Passau, Stadt;kreisfreie Stadt;1.768,91;3,85
9263;Straubing, Stadt;kreisfreie Stadt;1.987,82;4,57
9271;Deggendorf;Landkreis;1.949,25;3,27
9272;Freyung-Grafenau;Landkreis;1.768,06;3,83
9273;Kelheim;Landkreis;1.936,90;2,95
9274;Landshut;Landkreis;2.002,28;2,5
9275;Passau;Landkreis;1.833,58;3,47
9276;Regen;Landkreis;1.767,67;4,15
9277;Rottal-Inn;Landkreis;1.928,19;3,2
9278;Straubing-Bogen;Landkreis;1.950,14;2,95
9279;Dingolfing-Landau;Landkreis;2.009,24;2,92
9361;Amberg, Stadt;kreisfreie Stadt;1.829,80;5,01
9362;Regensburg, Stadt;kreisfreie Stadt;1.867,89;2,71
9363;Weiden i.d.OPf., Stadt;kreisfreie Stadt;1.793,94;3,64
9371;Amberg-Sulzbach;Landkreis;1.879,68;4,03
9372;Cham;Landkreis;1.848,05;3,88
9373;Neumarkt i.d.OPf.;Landkreis;2.005,55;3,43
9374;Neustadt a.d.Waldnaab;Landkreis;1.804,16;3,84
9375;Regensburg;Landkreis;1.991,47;3,24
9376;Schwandorf;Landkreis;1.812,95;3,4
9377;Tirschenreuth;Landkreis;1.845,24;4,15
9461;Bamberg, Stadt;kreisfreie Stadt;1.811,80;3,3
9462;Bayreuth, Stadt;kreisfreie Stadt;1.721,17;3,1
9463;Coburg, Stadt;kreisfreie Stadt;2.039,47;4,73
9464;Hof, Stadt;kreisfreie Stadt;1.660,34;5,25
9471;Bamberg;Landkreis;1.874,98;3,13
9472;Bayreuth;Landkreis;1.845,60;3,68
9473;Coburg;Landkreis;2.100,73;4,32
9474;Forchheim;Landkreis;1.997,71;3,4
9475;Hof;Landkreis;1.814,77;4,79
9476;Kronach;Landkreis;1.877,98;4,39
9477;Kulmbach;Landkreis;1.925,22;4,78
9478;Lichtenfels;Landkreis;1.896,41;4,54
9479;Wunsiedel i.Fichtelgebirge;Landkreis;1.867,00;5,59
9561;Ansbach, Stadt;kreisfreie Stadt;1.777,41;3,93
9562;Erlangen, Stadt;kreisfreie Stadt;2.048,66;2,98
9563;Fürth, Stadt;kreisfreie Stadt;1.969,09;3,49
9564;Nürnberg, Stadt;kreisfreie Stadt;1.855,05;3,64
9565;Schwabach, Stadt;kreisfreie Stadt;2.154,20;3,63
9571;Ansbach;Landkreis;1.967,96;3,04
9572;Erlangen-Höchstadt;Landkreis;2.143,13;3,21
9573;Fürth;Landkreis;2.108,09;3
9574;Nürnberger Land;Landkreis;2.115,66;3,41
9575;Neustadt a.d.Aisch-Bad Windsheim;Landkreis;1.913,36;3,85
9576;Roth;Landkreis;2.037,98;3,34
9577;Weißenburg-Gunzenhausen;Landkreis;1.884,74;3,6
9661;Aschaffenburg, Stadt;kreisfreie Stadt;2.065,59;3,75
9662;Schweinfurt, Stadt;kreisfreie Stadt;1.738,44;4,4
9663;Würzburg, Stadt;kreisfreie Stadt;2.089,18;3,06
9671;Aschaffenburg;Landkreis;2.005,14;2,69
9672;Bad Kissingen;Landkreis;1.880,73;3,57
9673;Rhön-Grabfeld;Landkreis;1.875,63;3,55
9674;Haßberge;Landkreis;1.819,94;4,09
9675;Kitzingen;Landkreis;1.950,16;3,12
9676;Miltenberg;Landkreis;1.921,54;2,9
9677;Main-Spessart;Landkreis;1.933,52;3,31
9678;Schweinfurt;Landkreis;1.887,35;3,19
9679;Würzburg;Landkreis;1.956,19;2,64
9761;Augsburg, Stadt;kreisfreie Stadt;1.664,63;3,44
9762;Kaufbeuren, Stadt;kreisfreie Stadt;1.919,43;3,34
9763;Kempten (Allgäu), Stadt;kreisfreie Stadt;1.839,27;3,11
9764;Memmingen, Stadt;kreisfreie Stadt;2.301,45;3,83
9771;Aichach-Friedberg;Landkreis;2.166,11;2,61
9772;Augsburg;Landkreis;2.099,67;2,71
9773;Dillingen a.d.Donau;Landkreis;2.023,90;3,13
9774;Günzburg;Landkreis;2.011,97;3
9775;Neu-Ulm;Landkreis;2.010,00;3,03
9776;Lindau (Bodensee);Landkreis;2.171,45;3,24
9777;Ostallgäu;Landkreis;1.997,15;3,04
9778;Unterallgäu;Landkreis;2.070,01;3,01
9779;Donau-Ries;Landkreis;2.032,84;2,93
9780;Oberallgäu;Landkreis;2.054,45;2,81
10041;Regionalverband Saarbrücken;Landkreis;1.618,89;4,68
10042;Merzig-Wadern;Landkreis;1.568,41;4,54
10043;Neunkirchen;Landkreis;1.662,94;5,04
10044;Saarlouis;Landkreis;1.727,50;4,56
10045;Saarpfalz-Kreis;Landkreis;1.908,54;4,07
10046;St. Wendel;Landkreis;1.788,52;4,22
11000;Berlin, Stadt;kreisfreie Stadt;1.674,32;3,43
12051;Brandenburg an der Havel, Stadt;kreisfreie Stadt;1.519,05;5,43
12052;Cottbus, Stadt;kreisfreie Stadt;1.539,04;5,4
12053;Frankfurt (Oder), Stadt;kreisfreie Stadt;1.472,30;5,19
12054;Potsdam, Stadt;kreisfreie Stadt;1.773,07;3,33
12060;Barnim;Landkreis;1.697,85;4,84
12061;Dahme-Spreewald;Landkreis;1.750,70;4,22
12062;Elbe-Elster;Landkreis;1.560,97;5,77
12063;Havelland;Landkreis;1.690,22;4,35
12064;Märkisch-Oderland;Landkreis;1.693,98;4,57
12065;Oberhavel;Landkreis;1.743,33;3,93
12066;Oberspreewald-Lausitz;Landkreis;1.609,42;5,98
12067;Oder-Spree;Landkreis;1.674,52;5,38
12068;Ostprignitz-Ruppin;Landkreis;1.569,96;4,98
12069;Potsdam-Mittelmark;Landkreis;1.883,17;4,25
12070;Prignitz;Landkreis;1.581,65;5,67
12071;Spree-Neiße;Landkreis;1.650,66;6,2
12072;Teltow-Fläming;Landkreis;1.679,35;4,22
12073;Uckermark;Landkreis;1.510,09;6,56
13003;Rostock, Stadt;kreisfreie Stadt;1.534,39;4,14
13004;Schwerin, Stadt;kreisfreie Stadt;1.586,77;5,46
13071;Mecklenburgische Seenplatte;Landkreis;1.571,28;5,75
13072;Landkreis Rostock;Landkreis;1.669,15;5,3
13073;Vorpommern-Rügen;Landkreis;1.598,09;5,9
13074;Nordwestmecklenburg;Landkreis;1.615,53;4,88
13075;Vorpommern-Greifswald;Landkreis;1.510,40;5,99
13076;Ludwigslust-Parchim;Landkreis;1.669,20;5,04
14511;Chemnitz, Stadt;kreisfreie Stadt;1.643,35;4,46
14521;Erzgebirgskreis;Landkreis;1.654,74;5,15
14522;Mittelsachsen;Landkreis;1.661,39;4,61
14523;Vogtlandkreis;Landkreis;1.652,78;5,46
14524;Zwickau;Landkreis;1.692,89;5,13
14612;Dresden, Stadt;kreisfreie Stadt;1.634,30;2,91
14625;Bautzen;Landkreis;1.670,49;4,71
14626;Görlitz;Landkreis;1.566,82;5,83
14627;Meißen;Landkreis;1.723,51;4,29
14628;Sächsische Schweiz-Osterzgebirge;Landkreis;1.697,66;4,76
14713;Leipzig, Stadt;kreisfreie Stadt;1.558,70;3,69
14729;Leipzig;Landkreis;1.764,23;5,05
14730;Nordsachsen;Landkreis;1.667,92;5,2
15001;Dessau-Roßlau, Stadt;kreisfreie Stadt;1.618,50;6,48
15002;Halle (Saale), Stadt;kreisfreie Stadt;1.466,22;4,86
15003;Magdeburg, Stadt;kreisfreie Stadt;1.552,90;4,17
15081;Altmarkkreis Salzwedel;Landkreis;1.654,29;5,37
15082;Anhalt-Bitterfeld;Landkreis;1.619,58;5,95
15083;Börde;Landkreis;1.709,49;5,63
15084;Burgenlandkreis;Landkreis;1.608,98;5,89
15085;Harz;Landkreis;1.632,21;5,82
15086;Jerichower Land;Landkreis;1.697,31;5,85
15087;Mansfeld-Südharz;Landkreis;1.565,89;6,02
15088;Saalekreis;Landkreis;1.698,92;5,41
15089;Salzlandkreis;Landkreis;1.577,71;6,25
15090;Stendal;Landkreis;1.568,21;6,26
15091;Wittenberg;Landkreis;1.667,34;5,79
16051;Erfurt, Stadt;kreisfreie Stadt;1.586,74;4,34
16052;Gera, Stadt;kreisfreie Stadt;1.593,26;6,23
16053;Jena, Stadt;kreisfreie Stadt;1.567,28;2,83
16054;Suhl, Stadt;kreisfreie Stadt;1.654,33;6,15
16055;Weimar, Stadt;kreisfreie Stadt;1.572,18;4,14
16056;Eisenach, Stadt;kreisfreie Stadt;1.600,00;4,51
16061;Eichsfeld;Landkreis;1.649,03;3,85
16062;Nordhausen;Landkreis;1.542,64;5,03
16063;Wartburgkreis;Landkreis;1.757,66;5
16064;Unstrut-Hainich-Kreis;Landkreis;1.557,08;5,1
16065;Kyffhäuserkreis;Landkreis;1.520,15;6,23
16066;Schmalkalden-Meiningen;Landkreis;1.637,70;5,05
16067;Gotha;Landkreis;1.603,05;5,09
16068;Sömmerda;Landkreis;1.591,68;4,76
16069;Hildburghausen;Landkreis;1.674,15;5,09
16070;Ilm-Kreis;Landkreis;1.624,29;4,65
16071;Weimarer Land;Landkreis;1.624,91;5,17
16072;Sonneberg;Landkreis;1.627,75;6,31
16073;Saalfeld-Rudolstadt;Landkreis;1.675,52;5,04
16074;Saale-Holzland-Kreis;Landkreis;1.654,15;4,26
16075;Saale-Orla-Kreis;Landkreis;1.626,09;5,38
16076;Greiz;Landkreis;1.665,67;4,87
16077;Altenburger Land;Landkreis;1.622,70;5,44
